Class Name,Depth,Number of Children,Name of Children
Token,1,0,
CloneFragment,1,0,
CloneDetectorOutputParseException,1,0,
CloneDetectorOutputParser,1,5,CCFinderOutputParser ; CloneDROutputParser ; ConQATOutputParser ; DeckardOutputParser ; NiCadOutputParser
CCFinderOutputParser,2,0,
CloneDROutputParser,2,0,
ConQATOutputParser,2,0,
DeckardOutputParser,2,0,
NiCadOutputParser,2,0,
CloneDetectorOutputParserFactory,1,0,
CloneGroup,1,0,
CloneGroupList,1,0,
CloneInstance,1,0,
CloneInstanceLocationInfo,1,0,
InvalidInputFileException,1,0,
JavaModelUtility,1,0,
ResourceInfo,1,0,
ICompilationUnitNotFoundException,1,0,
TextDiff,1,0,
for,1,0,
LinesToCharsResult,1,0,
Diff,1,0,
Patch,1,0,
AbstractMethodInvocationObject,1,3,ConstructorInvocationObject ; MethodInvocationObject ; SuperMethodInvocationObject
ConstructorInvocationObject,2,0,
MethodInvocationObject,2,0,
SuperMethodInvocationObject,2,0,
is,1,0,
ArrayAccessObject,1,0,
Association,1,0,
AssociationDetection,1,0,
of,1,0,
ASTInformation,1,0,
ASTInformationGenerator,1,0,
ASTReader,1,0,
ClassDeclarationObject,1,2,AnonymousClassDeclarationObject ; ClassObject
AnonymousClassDeclarationObject,2,0,
ClassObject,2,0,
CommentObject,1,0,
CompilationErrorDetectedException,1,0,
ConstructorObject,1,0,
CreationObject,1,2,ArrayCreationObject ; ClassInstanceCreationObject
ArrayCreationObject,2,0,
ClassInstanceCreationObject,2,0,
AbstractMethodFragment,1,2,AbstractExpression ; AbstractStatement
AbstractExpression,2,0,
AbstractStatement,2,2,StatementObject ; CompositeStatementObject
CatchClauseObject,1,0,
AbstractVariable,1,2,CompositeVariable ; PlainVariable
CompositeVariable,2,0,
PlainVariable,2,0,
BasicBlock,1,0,
BasicBlockCFG,1,0,
Graph,1,3,CFG ; PDG ; PDGSlice
CFG,2,0,
PDG,2,0,
PDGSlice,2,0,
GraphEdge,1,2,Flow ; PDGDependence
Flow,2,0,
PDGDependence,2,2,PDGControlDependence ; PDGAbstractDataDependence
GraphNode,1,2,CFGNode ; PDGNode
CFGNode,2,7,CFGBreakNode ; CFGContinueNode ; CFGExitNode ; CFGSwitchCaseNode ; CFGThrowNode ; CFGBlockNode ; CFGBranchNode
PDGNode,2,4,PDGControlPredicateNode ; PDGMethodEntryNode ; PDGBlockNode ; PDGStatementNode
BottomUpCDTMapper,1,0,
CloneInstanceMapper,1,0,
CloneStructureNode,1,0,
CodeFragmentDecomposer,1,0,
CompleteSubTreeMatch,1,0,
ControlDependenceTreeGenerator,1,0,
ControlDependenceTreeNode,1,0,
ControlDependenceTreeNodeMatchPair,1,0,
ControlDependenceTreeNodeMatchPairComparator,1,0,
DivideAndConquerMatcher,1,2,PDGRegionSubTreeMapper ; PDGSubTreeMapper
PDGRegionSubTreeMapper,2,0,
PDGSubTreeMapper,2,0,
ExtractStatementsVisitor,1,0,
IdenticalStatementDecomposer,1,0,
MappingState,1,0,
NodeMapping,1,2,IdBasedGap ; IdBasedMapping
IdBasedGap,2,2,PDGElseGap ; PDGNodeGap
IdBasedMapping,2,2,PDGElseMapping ; PDGNodeMapping
PDGEdgeMapping,1,0,
PDGMapper,1,0,
BoldStyler,1,0,
NormalStyler,1,0,
PreconditionViolation,1,7,ExpressionPreconditionViolation ; NotAllPossibleExecutionFlowsEndInReturnPreconditionViolation ; ReturnedVariablePreconditionViolation ; StatementPreconditionViolation ; UncommonSuperclassPreconditionViolation ; ZeroMatchedStatementsPreconditionViolation ; DualExpressionPreconditionViolation
DualExpressionPreconditionViolation,2,1,DualExpressionWithCommonSuperTypePreconditionViolation
ExpressionPreconditionViolation,2,0,
NotAllPossibleExecutionFlowsEndInReturnPreconditionViolation,2,0,
ReturnedVariablePreconditionViolation,2,0,
StatementPreconditionViolation,2,0,
UncommonSuperclassPreconditionViolation,2,0,
ZeroMatchedStatementsPreconditionViolation,2,0,
Suggestion,1,0,
PreconditionExaminer,1,0,
and,1,0,
StatementCollector,1,0,
