Class Name, Weighted Method Per Class, Total Complexity
CCFinderOutputParser,16,51
CloneDetectorOutputParseException,0,0
CloneDetectorOutputParser,18,29
CloneDetectorOutputParserFactory,1,7
CloneDetectorOutputParserProgressObserver,2,0
CloneDROutputParser,4,13
CloneGroup,17,35
CloneGroupList,8,14
CloneInstance,29,34
CloneInstanceLocationInfo,20,30
ConQATOutputParser,2,9
DeckardOutputParser,1,8
InvalidInputFileException,0,0
JavaModelUtility,3,11
NiCadOutputParser,1,8
ResourceInfo,8,16
TextDiff,47,307
AbstractMethodDeclaration,114,0
AbstractMethodInvocationObject,17,26
AnonymousClassDeclarationObject,9,16
ArrayAccessObject,3,3
ArrayCreationObject,2,2
Association,7,10
AssociationDetection,10,44
ASTInformation,6,9
ASTInformationGenerator,2,2
ASTReader,13,96
ClassDeclarationObject,24,60
ClassInstanceCreationObject,9,12
ClassObject,31,72
CommentObject,12,15
CompilationErrorDetectedException,1,1
CompilationUnitCache,22,40
ConstructorInvocationObject,2,2
ConstructorObject,71,132
CreationObject,1,1
AbstractExpression,5,11
AbstractMethodFragment,86,230
AbstractStatement,3,5
CatchClauseObject,13,17
AbstractVariable,6,6
BasicBlock,14,15
BasicBlockCFG,2,5
CFG,25,149
CFGBlockNode,2,2
CFGBranchConditionalNode,3,9
CFGBranchDoLoopNode,2,4
CFGBranchIfNode,2,17
CFGBranchLoopNode,2,8
CFGBranchNode,7,32
CFGBranchSwitchNode,0,0
CFGBreakNode,4,4
CFGContinueNode,4,4
CFGExitNode,1,1
CFGNode,15,28
CFGSwitchCaseNode,1,1
CFGSynchronizedNode,0,0
CFGThrowNode,0,0
CFGTryNode,4,4
CompositeVariable,10,22
Flow,7,10
Graph,4,4
GraphEdge,2,2
GraphNode,4,4
BottomUpCDTMapper,9,68
CloneInstanceMapper,22,117
CloneStructureNode,26,143
CodeFragmentDecomposer,5,20
CompleteSubTreeMatch,9,16
ControlDependenceTreeGenerator,7,40
ControlDependenceTreeNode,43,101
ControlDependenceTreeNodeMatchPair,15,32
ControlDependenceTreeNodeMatchPairComparator,1,4
DivideAndConquerMatcher,75,391
ExtractStatementsVisitor,27,32
IdBasedGap,4,10
IdBasedMapping,3,3
IdenticalStatementDecomposer,1,1
MappingState,44,168
NodeMapping,7,33
PDGEdgeMapping,7,17
PDGElseGap,6,13
PDGElseMapping,9,12
PDGMapper,6,20
PDGNodeGap,8,26
PDGNodeMapping,25,67
PDGRegionSubTreeMapper,10,27
PDGSubTreeMapper,9,25
BoldStyler,1,1
DualExpressionPreconditionViolation,4,8
DualExpressionWithCommonSuperTypePreconditionViolation,2,10
ExpressionPreconditionViolation,3,3
NormalStyler,1,1
NotAllPossibleExecutionFlowsEndInReturnPreconditionViolation,2,2
PreconditionViolation,4,4
ReturnedVariablePreconditionViolation,2,10
StatementPreconditionViolation,3,19
Suggestion,3,3
UncommonSuperclassPreconditionViolation,2,2
ZeroMatchedStatementsPreconditionViolation,2,2
PreconditionExaminer,146,914
StatementCollector,26,28
SubTreeMatchComparator,1,1
SwitchBodyDecomposer,1,1
TopDownCDTMapper,6,37
VariableBindingKeyPair,5,7
VariableBindingPair,7,9
MethodCallAnalyzer,17,280
PDG,48,203
PDGAbstractDataDependence,6,13
PDGAntiDependence,0,0
PDGBlockNode,2,32
PDGControlDependence,6,12
PDGControlPredicateNode,1,29
PDGDataDependence,0,0
PDGDependence,3,3
PDGExitNode,1,1
PDGExpression,9,40
PDGMethodEntryNode,5,7
PDGNode,40,148
PDGObjectSliceUnion,34,113
PDGObjectSliceUnionCollection,1,1
PDGOutputDependence,0,0
PDGSlice,36,100
PDGSliceUnion,35,110
PDGSliceUnionCollection,1,1
PDGStatementNode,1,28
PDGSynchronizedNode,0,0
PDGTryNode,3,9
PlainVariable,6,10
ReachingAliasSet,8,36
CompositeStatementObject,30,63
ASTNodeDifference,22,78
ASTNodeMatcher,80,551
BindingSignature,9,16
BindingSignaturePair,8,11
BindingSignatureVisitor,38,90
AbstractControlCase,5,8
AbstractControlStructure,3,6
AbstractControlStructureUtilities,7,29
IfControlCase,2,2
IfControlStructure,5,18
Pair,7,10
SwitchControlCase,5,22
SwitchControlStructure,6,13
TernaryControlStructure,9,14
Difference,8,11
FieldAccessReplacedWithGetterInvocationDifference,7,7
FieldAssignmentReplacedWithSetterInvocationDifference,17,17
AbstractControlVariable,4,7
AbstractLoop,3,9
AbstractLoopBindingInformation,9,16
AbstractLoopUtilities,23,122
ConditionalLoop,8,40
ConditionalLoopASTNodeMatcher,3,24
ControlVariable,12,87
EarliestStartPositionComparator,1,1
EnhancedForLoop,5,11
VariableUpdater,3,3
VariableValue,5,5
NodePair,2,4
NodePairComparisonCache,12,13
MethodBodyObject,49,120
StatementObject,2,2
SynchronizedStatementObject,0,0
TryStatementObject,13,35
DelegationDetection,2,4
DelegationPath,4,5
DelegationTree,5,15
EnumConstantDeclarationObject,10,15
FieldInstructionObject,11,14
FieldObject,19,25
IfStatementExpressionAnalyzer,24,61
Indexer,23,112
CompleteInheritanceDetection,6,19
InheritanceDetection,3,12
InheritanceTree,8,22
TypeBindingInheritanceDetection,5,22
LibraryClassStorage,2,6
LiteralObject,7,16
LocalVariableDeclarationObject,8,12
LocalVariableInstructionObject,10,14
MethodInvocationObject,2,2
MethodObject,87,198
ConnectivityMetric,3,36
LCOM,3,33
MMImportCoupling,3,14
ParameterObject,9,12
Standalone,5,37
SuperFieldInstructionObject,10,13
SuperMethodInvocationObject,2,2
SystemObject,41,190
TypeCheckCodeFragmentAnalyzer,8,298
TypeObject,11,33
TypeSearchRequestor,1,3
ExpressionExtractor,42,151
ExpressionInstanceChecker,2,0
InstanceOfArrayAccess,1,2
InstanceOfArrayCreation,1,2
InstanceOfAssignment,1,2
InstanceOfBranchingStatement,1,2
InstanceOfBreakStatement,1,2
InstanceOfCastExpression,1,2
InstanceOfClassInstanceCreation,1,2
InstanceOfConditionalExpression,1,2
InstanceOfConstructorInvocation,1,2
InstanceOfContinueStatement,1,2
InstanceOfDoStatement,1,2
InstanceOfEnhancedForStatement,1,2
InstanceOfExpression,1,1
InstanceOfFieldAccess,1,2
InstanceOfForStatement,1,2
InstanceOfIfStatement,1,2
InstanceOfInfixExpression,1,2
InstanceOfInstanceofExpression,1,2
InstanceOfLiteral,1,2
InstanceOfMethodInvocation,1,2
InstanceOfPostfixExpression,1,2
InstanceOfPrefixExpression,1,2
InstanceOfReturnStatement,1,2
InstanceOfSimpleName,1,2
InstanceOfSuperFieldAccess,1,2
InstanceOfSuperMethodInvocation,1,2
InstanceOfSwitchStatement,1,2
InstanceOfThisExpression,1,2
InstanceOfTryStatement,1,2
InstanceOfTypeDeclarationStatement,1,2
InstanceOfTypeLiteral,1,2
InstanceOfVariableDeclarationExpression,1,2
InstanceOfVariableDeclarationStatement,1,2
InstanceOfVariableModifier,1,2
InstanceOfWhileStatement,1,2
AdjacencyList,7,12
Cluster,6,11
Clustering,1,3
DoubleArray,9,20
Edge,6,9
Hierarchical,1,27
HumaniseCamelCase,7,10
LevenshteinDistance,2,6
Node,5,8
Stemmer,21,155
TarjanAlgorithm,2,9
MethodDeclarationUtility,6,64
StatementExtractor,16,82
StatementInstanceChecker,2,0
SuperMethodInvocationVisitor,2,2
ThrownExceptionVisitor,5,8
TopicFinder,2,13
TypeVisitor,4,6
VariableDeclarationObject,1,1
ClassFigure,11,11
ClassFigureMover,8,12
CompartmentFigure,1,1
CompartmentFigureBorder,2,2
DecorationConstants,0,0
EntityFigure,28,28
EntityFigureListener,5,10
FeatureEnviedMethodInformationControl,13,25
FeatureEnviedMethodInformationControlCreator,2,2
FeatureEnvyDiagram,1,1
FeatureEnvyVisualizationData,17,52
GodClassDiagram,1,1
GodClassDiagram2,1,1
GodClassInformationControl,8,12
GodClassInformationControlCreator,2,2
GodClassVisualizationData,20,44
ICustomInformationControlCreator,2,0
IInformationProvider,4,0
InformationControlManager,17,28
JConnection,15,24
LeftAnchor,1,1
Legend,2,14
MethodClassSection,2,2
MyContentProposalProvider,1,3
PackageFigure,9,13
PackageMapDiagram,18,34
PackageMapDiagramInformationProvider,2,5
PackageMapFigure,0,0
PMClassFigure,21,24
ProportionalFlowLayout,1,9
RightAnchor,1,1
SearchDialog,7,8
SearchInputAction,2,6
SectionCompartment,3,3
SmellyClassMouseListener,3,12
VisualizationData,4,0
ZoomAction,3,7
ZoomInputAction,2,5
CandidateRefactoring,1,5
ClusterSizeComparator,1,3
DistanceCalculator,3,4
DistanceMatrix,7,78
Entity,0,0
ExtractClassCandidateGroup,7,15
ExtractClassCandidateRefactoring,43,75
ExtractedConcept,7,10
MoveMethodCandidateRefactoring,40,66
MyAbstractExpression,20,34
MyAbstractStatement,25,41
MyAttribute,20,27
MyAttributeInstruction,8,10
MyClass,20,34
MyCompositeStatement,13,52
MyMethod,30,53
MyMethodBody,15,19
MyMethodInvocation,8,14
MyStatement,0,0
MySystem,9,41
Evolution,6,0
FeatureEnvyEvolution,5,25
MethodEvolution,5,14
ProjectEvolution,1,1
ProjectVersion,2,20
ProjectVersionPair,3,3
TypeCheckingEvolution,7,48
PreferenceConstants,0,0
PreferenceInitializer,1,1
PropertyManagerPreferencePage,4,15
BadSmellsMenu,4,9
Activator,4,4
ASTSlice,26,55
ASTSliceGroup,10,22
ExtractClassRefactoring,79,685
ExtractClassRefactoringDescriptor,1,1
ExtractCloneRefactoring,94,869
ExtractCloneRefactoringDescriptor,1,1
ExtractMethodFragmentRefactoring,14,120
ExtractMethodRefactoring,14,59
ExtractMethodRefactoringDescriptor,1,1
MoveMethodRefactoring,46,382
MoveMethodRefactoringDescriptor,1,1
PolymorphismRefactoring,15,202
RefactoringUtility,21,114
ReplaceConditionalWithPolymorphism,14,199
ReplaceConditionalWithPolymorphismDescriptor,1,1
ReplaceTypeCodeWithStateStrategy,48,567
ReplaceTypeCodeWithStateStrategyDescriptor,1,1
TypeCheckElimination,101,318
TypeCheckEliminationGroup,12,29
CloneDiffContentProvider,3,4
CloneDiffStyledLabelProvider,11,34
CloneDiffTooltip,11,29
CloneDiffWizardPage,18,36
CloneRefactoringAction,7,17
CodeSmellPackageExplorer,16,42
CodeSmellVisualization,12,30
CodeSmellVisualizationDataSingleton,4,4
DuplicatedCode,46,150
ElementChangedListener,3,14
EvolutionDialog,8,19
EvolutionRow,2,2
ExtractClassInputPage,5,14
ExtractMethodInputPage,5,14
FeatureEnvy,40,138
GodClass,42,171
ImportClonesWizard,6,16
ImportClonesWizardPage,9,32
LabelControlContribution,1,2
LongMethod,33,143
MethodEvolutionAction,4,9
MethodNameValidator,1,2
MoveMethodInputPage,5,12
MultilineButton,2,2
MyComboBoxCellEditor,2,2
MyRefactoringWizard,2,13
ReplaceTypeCodeWithStateStrategyInputPage,4,13
SliceAnnotation,0,0
SliceProfileAction,6,17
SliceProfileDialog,19,48
SliceProfileRow,4,7
StringCompareEditorInput,5,5
StyledStringStyler,2,16
StyledStringVisitor,102,228
TypeChecking,33,122
ZoomValueValidator,1,2
