Class Name, Method Name, Cyclomatic Complexity
CCFinderOutputParser,getStartOffset,1
CCFinderOutputParser,getEndOffst,1
CCFinderOutputParser,toString,1
CCFinderOutputParser,getCloneGroupID,1
CCFinderOutputParser,getPath,1
CCFinderOutputParser,getStart,1
CCFinderOutputParser,getEnd,1
CCFinderOutputParser,toString,1
CCFinderOutputParser,hashCode,1
CCFinderOutputParser,equals,10
CCFinderOutputParser,compare,1
CCFinderOutputParser,readInputFile,5
CCFinderOutputParser,readCloneSetData,16
CCFinderOutputParser,readUtf8StringUntil,5
CCFinderOutputParser,getPreproprossedFile,4
CCFinderOutputParser,readInt,1
CloneDetectorOutputParser,getToolOutputFilePath,1
CloneDetectorOutputParser,getIJavaProject,1
CloneDetectorOutputParser,getCloneGroupCount,1
CloneDetectorOutputParser,setCloneGroupCount,1
CloneDetectorOutputParser,readFileContents,2
CloneDetectorOutputParser,getResultsFileContents,1
CloneDetectorOutputParser,progress,2
CloneDetectorOutputParser,addParserProgressObserver,1
CloneDetectorOutputParser,getIMethod,6
CloneDetectorOutputParser,getMethodJavaSignature,2
CloneDetectorOutputParser,cancelOperation,1
CloneDetectorOutputParser,isOperationCanceled,1
CloneDetectorOutputParser,addExceptionHappenedDuringParsing,1
CloneDetectorOutputParser,getWarningExceptions,1
CloneDetectorOutputParser,getCloneInstance,1
CloneDetectorOutputParser,getCloneInstance,1
CloneDetectorOutputParser,getCloneInstance,3
CloneDetectorOutputParser,formatPath,2
CloneDetectorOutputParserFactory,getCloneToolParser,7
CloneDetectorOutputParserProgressObserver,notify,0
CloneDROutputParser,readInputFile,7
CloneDROutputParser,compare,1
CloneDROutputParser,getAllCloneGroups,3
CloneDROutputParser,getCommonPathPrefix,2
CloneGroup,getCloneGroupID,1
CloneGroup,setCloneGroupID,1
CloneGroup,addClone,2
CloneGroup,getCloneInstances,2
CloneGroup,equals,4
CloneGroup,hashCode,1
CloneGroup,getCloneGroupSize,1
CloneGroup,toString,1
CloneGroup,containsClassLevelClone,3
CloneGroup,getSubcloneOf,1
CloneGroup,setSubCloneOf,1
CloneGroup,isSubClone,1
CloneGroup,isSubCloneOf,5
CloneGroup,removeClonesExistingInFile,1
CloneGroup,updateClonesExistingInFile,3
CloneGroup,isUpdated,3
CloneGroup,getClonesRelativeLocation,4
CloneGroupList,getJavaProject,1
CloneGroupList,add,5
CloneGroupList,iterator,1
