File Name,LCOM,CBO,RFC
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CCFinderOutputParser.java,13,2,20
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneDetectorOutputParseException.java,0,0,0
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneDetectorOutputParser.java,17,4,28
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneDetectorOutputParserFactory.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneDetectorOutputParserProgressObserver.java,1,1,1
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneDetectorType.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneDROutputParser.java,3,2,8
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneGroup.java,15,8,21
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneGroupList.java,8,7,12
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneInstance.java,29,3,29
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneInstanceLocationInfo.java,20,0,20
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\CloneInstanceStatus.java,0,0,0
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\ClonesRelativeLocation.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\ConQATOutputParser.java,1,3,7
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\DeckardOutputParser.java,1,2,5
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\InvalidInputFileException.java,0,0,0
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\JavaModelUtility.java,3,0,3
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\NiCadOutputParser.java,1,3,6
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\ResourceInfo.java,8,1,8
G:\MetricsToolGIT\JDeodorant-master\src\ca\concordia\jdeodorant\clone\parsers\TextDiff.java,19,1,47
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\AbstractMethodDeclaration.java,57,7,57
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\AbstractMethodInvocationObject.java,17,1,18
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\Access.java,1,0,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\AnonymousClassDeclarationObject.java,9,4,10
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\ArrayAccessObject.java,3,0,3
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\ArrayCreationObject.java,2,1,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\association\Association.java,7,4,7
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\association\AssociationDetection.java,4,4,17
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\ASTInformation.java,6,0,6
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\ASTInformationGenerator.java,2,0,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\ASTReader.java,8,10,59
